"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
COWL 1,ALE:ImaginingJustice,Virginia Troyer,2019 Fall,2198,N,,10,3,7,4,,,,,,,,,3,,,,,,,,27
COWL 1,ALE:ImaginingJustice,Maria Frangos,2019 Fall,2198,N,,7,13,4,2,1,,,,,,,,1,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Kathryn McQueen,2019 Fall,2198,N,,2,7,6,2,6,2,,1,,,,,1,,,,,,,,27
COWL 1,ALE:ImaginingJustice,Lara Galas,2019 Fall,2198,N,2,7,2,6,2,1,3,1,1,,,,1,2,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Lara Galas,2019 Fall,2198,N,1,8,5,5,3,2,1,,,,1,,,,1,,,,,,,27
COWL 1,ALE:ImaginingJustice,Todd Thorpe,2019 Fall,2198,N,2,11,6,3,5,,,,,,,,1,,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Catherine Carlstroem,2019 Fall,2198,N,,2,6,11,4,1,,,,,,,,1,1,,,,,,,26
COWL 1,ALE:ImaginingJustice,Catherine Carlstroem,2019 Fall,2198,N,,2,7,11,3,,3,,,,,,,2,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Dena Robertson,2019 Fall,2198,N,8,10,5,3,,,,,,,,,,1,,,,,,,,27
COWL 1,ALE:ImaginingJustice,Dion Farquhar,2019 Fall,2198,N,2,7,12,4,3,,,,,,,,,,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Joseph Navarro,2019 Fall,2198,N,1,8,8,2,1,,1,1,2,,,,,4,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Joseph Navarro,2019 Fall,2198,N,2,3,12,,1,2,1,,,,,,1,6,,,,,,,,28
COWL 1,ALE:ImaginingJustice,Todd Thorpe,2019 Fall,2198,N,1,11,3,6,3,1,,2,,,,,,1,,,,,,,,28
COWL 70A,Intro Book Arts,Gary Young,2019 Fall,2198,N,,11,1,,,,,,,,,,,,,,,,,,,12
COWL 84,China Human Values,Raoul Birnbaum,2019 Fall,2198,N,,7,7,4,,,,,,,,,,,,,,,,,,18
COWL 111,Mock Trial Workshop,Dena Robertson,2019 Fall,2198,N,19,5,,,2,,,,,,,,,5,,,,,,,,31
COWL 122,UN-Contemporary Issues,Dena Robertson,2019 Fall,2198,Y,18,24,2,,6,2,,,,,,,,7,,,,,2,,,61
CRSN 122,UN-Contemporary Issues,Dena Robertson,2019 Fall,2198,Y,8,21,2,1,5,1,,,,,1,,,7,,,,,2,,,48
COWL 184A,Leadership & Instit,Todd Thorpe,2019 Fall,2198,N,,29,8,1,2,,1,1,,,2,,,3,,,,,,,,47
COWL 199,Tutorial,Alan Christy,2019 Fall,2198,N,12,,,,,,,,,,,,,,,,,,,,,12
CRES 10,Intro to CRES,Christine Hong,2019 Fall,2198,N,15,39,30,18,19,13,7,6,4,,4,2,4,17,5,,,1,5,,,189
CRSN 1,ALE:Environ/Society,Clara Weygandt,2019 Fall,2198,N,5,13,4,2,3,2,,,,,1,,,,,,,,,,,30
CRSN 1,ALE:Environ/Society,Clara Weygandt,2019 Fall,2198,N,10,8,9,1,,1,,,,,,,,,,,,,,,,29
CRSN 1,ALE:Environ/Society,Patrick Mc Kercher,2019 Fall,2198,N,,,3,3,,1,4,4,,,,,,,,,,,,,,15
CRSN 1,ALE:Environ/Society,Tiffany Wong,2019 Fall,2198,N,2,28,,,,,,,,,,,,,,,,,,,,30
CRSN 1,ALE:Environ/Society,Joy Hagen,2019 Fall,2198,N,1,11,7,2,3,1,1,,,,,,1,2,1,,,,,,,30
CRSN 1,ALE:Environ/Society,John Newman,2019 Fall,2198,N,,2,4,13,8,1,1,,,,,,,,,,,,,,,29
CRSN 1,ALE:Environ/Society,John Newman,2019 Fall,2198,N,,1,5,13,6,,1,,1,,,,,1,,,,,,,,28
CRSN 1,ALE:Environ/Society,Neil Schaefer,2019 Fall,2198,N,,7,3,13,3,1,2,1,,,,,,,,,,,,,,30
CRSN 1,ALE:Environ/Society,Neil Schaefer,2019 Fall,2198,N,1,3,4,11,6,2,,,,,,,,3,,,,,,,,30
CRSN 1,ALE:Environ/Society,Julianne Hazlewood,2019 Fall,2198,N,2,5,9,3,,4,1,1,1,,,,1,1,2,,,,,,,30
CRSN 1,ALE:Environ/Society,Julianne Hazlewood,2019 Fall,2198,N,,7,5,4,2,2,2,2,,,1,,1,2,1,,,,,,,29
CRSN 1,ALE:Environ/Society,Patrick Mc Kercher,2019 Fall,2198,N,,4,1,5,3,8,2,3,4,,,,,,,,,,,,,30
CRSN 1,ALE:Environ/Society,Candace Calsoyas,2019 Fall,2198,N,,11,1,12,2,1,,,,,,,,2,1,,,,,,,30
CRSN 55,Service Learning,Susan Watrous,2019 Fall,2198,N,,12,3,3,3,,,,,,,,,4,1,,,,2,,,28
CRSN 151C,Sust Lab Tools,Tela Favaloro,2019 Fall,2198,N,,3,3,3,,,,,,,,,2,2,,,,,,,,13
CRSN 152,IDEASS Lab,Tamara Ball,2019 Fall,2198,N,,1,4,3,,,,,,,,,,8,,,,,1,,,17
CRSN 152,IDEASS Lab,Eli Nygren,2019 Fall,2198,N,,3,8,1,,,,,,,,,,2,,,,,,,,14
CRWN 1,ALE:Emerging Tech,Nada Miljkovic,2019 Fall,2198,N,12,8,2,,1,,,,,,,,,,,,,,,,,23
CRWN 1,ALE:Emerging Tech,Nada Miljkovic,2019 Fall,2198,N,5,14,2,1,,2,,,,,,,,,,,,,,,,24
CRWN 1,ALE:Emerging Tech,Marilyn Patton,2019 Fall,2198,N,3,19,,1,,,,1,,,,,,,,,,,,,,24
CRWN 1,ALE:Emerging Tech,Marilyn Patton,2019 Fall,2198,N,6,16,,1,6,,,,,,,,,,,,,,,,,29
CRWN 1,ALE:Emerging Tech,Roxanne Hamilton,2019 Fall,2198,N,1,9,6,5,1,2,2,1,,,,,,,,,,,,,,27
CRWN 1,ALE:Emerging Tech,Roxanne Hamilton,2019 Fall,2198,N,1,11,4,4,2,3,1,,,,,,,1,,,,,,,,27
CRWN 1,ALE:Emerging Tech,Abel Cornejo,2019 Fall,2198,N,,21,,,2,,,,,,,,,,,,,,,,,23
CRWN 1,ALE:Emerging Tech,Dion Farquhar,2019 Fall,2198,N,2,17,5,3,,1,,,,,,,,,,,,,,,,28
CRWN 1,ALE:Emerging Tech,Linda Glenn,2019 Fall,2198,N,2,17,2,4,3,,,,,,,,1,,,,,,,,,29
CRWN 1,ALE:Emerging Tech,Chris Gray,2019 Fall,2198,N,2,10,5,3,6,2,,,,,,,,1,,,,,,,,29
CRWN 1,ALE:Emerging Tech,Gary Patton,2019 Fall,2198,N,,19,1,,6,,,,,,2,,,1,,,,,,,,29
CRWN 1,ALE:Emerging Tech,Linda Glenn,2019 Fall,2198,N,11,6,3,4,1,1,,,,,,,2,,,,,,,,,28
CRWN 1,ALE:Emerging Tech,Tim Fitzmaurice,2019 Fall,2198,N,14,13,1,,,,,,,,,,,,,,,,,,,28
CRWN 1,ALE:Emerging Tech,Chris Gray,2019 Fall,2198,N,1,11,7,2,3,2,2,,,,,,,,,,,,,,,28
CRWN 1,ALE:Emerging Tech,Marilyn Patton,2019 Fall,2198,N,4,19,,2,3,,,1,,,1,,,,,,,,,,,30
CRWN 79,Soc Eth Technology,Linda Glenn,2019 Fall,2198,N,1,12,1,2,2,,,,,,,,,1,,,,,,,,19
CRWN 79,Soc Eth Technology,Linda Glenn,2019 Fall,2198,N,,8,,2,1,1,1,1,,,,,1,,,,,,,,,15
CRWN 79,Soc Eth Technology,Abel Cornejo,2019 Fall,2198,N,,9,,,,,,,,,,,1,3,,,,,,,,13
CRWN 79,Soc Eth Technology,Abel Cornejo,2019 Fall,2198,N,,10,,,2,,,,,,1,,,4,,,,,,,,17
CRWN 88,ComputFuturol,Peter Rothman,2019 Fall,2198,N,6,7,,,1,,,,,,,,,,,,,,,,,14
CRWN 89,Computational Biol,Jay Kim,2019 Fall,2198,N,1,6,4,,,,,,,,,,,2,,,,,,,,13
CRWN 92,Soc/Creative Entrepr,Nada Miljkovic,2019 Fall,2198,N,2,8,12,1,,,,,,,,,,1,,,,,,,,24
CRWN 185,Career&Internship,Christina Hall,2019 Fall,2198,N,48,19,4,3,2,,1,1,,,2,,4,5,2,,,,2,,,93
CSE 3,Personal Computers,Gerald Moulds,2019 Fall,2198,N,,292,,21,36,,3,3,,,1,,5,14,1,1,,,1,,,378
CSE 12,Com Sys/Assmbly Lan,Rebecca Rashkin,2019 Fall,2198,N,,125,,,109,,,51,,,49,,54,,13,,,,19,,,420
CSE 12L,Comp Sys/Lang Lab,Rebecca Rashkin,2019 Fall,2198,N,,125,,,109,,,51,,,49,,56,,12,,,,19,,,421
CSE 13S,Comp Sys and C Prog,Darrell Long,2019 Fall,2198,N,1,2,1,8,12,,6,5,2,,,,4,1,4,,,,3,,,49
CSE 15,Intro Data Structur,Patrick Tantalo,2019 Fall,2198,N,9,42,34,30,38,27,9,5,28,8,9,3,20,7,13,,,,13,,,295
CSE 15L,Data Structures Lab,Patrick Tantalo,2019 Fall,2198,N,9,42,34,30,37,28,9,5,28,7,9,3,20,6,12,,,,13,,,292
CSE 16,Appl Discrete Math,Tracy Larrabee,2019 Fall,2198,N,24,70,26,63,27,12,8,6,8,,3,,10,1,3,,,,1,,,262
CSE 20,Beginning Python,Narges Norouzi,2019 Fall,2198,N,54,47,30,30,28,10,14,16,2,7,8,2,16,7,16,,,,8,,,295
CSE 20,Beginning Python,Benedict Paten,2019 Fall,2198,N,55,38,29,14,8,8,4,6,1,2,,2,3,1,6,,,,5,,,182
CSE 30,Prog Abs Python,Luca De Alfaro,2019 Fall,2198,N,27,39,23,20,9,7,4,15,,,2,,12,1,,,,,7,,,166
CSE 50,Business Inf System,Yihsu Chen,2019 Fall,2198,N,,12,14,19,21,35,23,10,5,,,,1,1,,,,,3,,,144
CSE 80A,Universal Access,Roberto Manduchi,2019 Fall,2198,N,7,12,21,28,15,16,15,7,,,11,,3,30,9,,,,,,,174
CSE 80N,Intro to Networking,Christina Parsa,2019 Fall,2198,N,11,13,22,18,19,8,11,9,,,4,,5,15,6,,,,4,,,145
CSE 100,Logic Design,Erik Jung,2019 Fall,2198,N,3,27,13,12,6,5,2,4,4,,,,6,,,,,,5,,,87
CSE 100L,Logic Design Lab,Martine Schlag,2019 Fall,2198,N,3,27,13,12,6,5,2,4,4,,,,6,,,,,,5,,,87
CSE 101,Abstract Data Types,Patrick Tantalo,2019 Fall,2198,N,40,81,51,51,54,20,18,8,29,7,5,5,21,,23,1,,,38,,,452
CSE 102,Intro Algorthm Anyl,Allen Van Gelder,2019 Fall,2198,N,3,4,2,5,3,8,20,4,,,2,,4,,,,,,1,,,56
CSE 103,Computational Models,Delbert Bailey,2019 Fall,2198,N,,21,,,65,,,50,,,11,,5,1,6,,,,5,,,164
CSE 110A,Fund Compiler Des 1,Wesley Mackey,2019 Fall,2198,N,2,6,4,3,,1,1,3,,,,,1,,1,,,,2,,,24
CSE 111,Adv Programming,Wesley Mackey,2019 Fall,2198,N,17,18,23,16,15,11,8,3,,9,4,3,6,1,7,,,,26,,,167
CSE 112,Compar Prog Lang,Charles McDowell,2019 Fall,2198,N,6,32,9,12,18,11,31,31,8,,6,,8,,3,,,,16,,,191
CSE 115A,Intro Software Eng,Richard Jullig,2019 Fall,2198,N,3,72,18,20,7,1,,,,,,,,,,,,,,,,121
CSE 115A,Intro Software Eng,Richard Jullig,2019 Fall,2198,N,3,69,13,21,11,1,1,1,,,,,1,,,,,,,,,121
CSE 116,Intro Func Prog,Owen Arden,2019 Fall,2198,N,10,13,9,5,9,10,3,8,,4,,1,5,1,1,1,,,4,,,84
CSE 118,Mobile Applications,Narges Norouzi,2019 Fall,2198,N,16,25,10,10,13,6,4,5,2,,1,,1,,,1,,,3,,,97
CSE 120,Computer Architect,Heiner Litz,2019 Fall,2198,N,10,17,35,52,46,39,17,18,7,3,4,,,1,,,,,6,,,255
CSE 121,Micro System Design,Anujan Varma,2019 Fall,2198,N,,5,7,7,10,5,3,1,,,,,3,,1,,,,6,,,48
CSE 121L,Micro Sys Desgn Lab,Anujan Varma,2019 Fall,2198,N,,5,7,7,10,5,3,1,,,,,3,,1,,,,6,,,48
CSE 130,Prin Comp Sys Dsgn,Faisal Nawab,2019 Fall,2198,N,11,18,37,43,32,28,13,9,,,2,,1,1,2,,,,4,,,201
CSE 130,Prin Comp Sys Dsgn,Ethan Miller,2019 Fall,2198,N,,5,6,9,14,15,10,36,,,19,,20,,7,,,,19,,,160
CSE 138,Distributed Systems,Peter Alvaro,2019 Fall,2198,N,,11,9,8,12,8,5,16,4,4,4,1,1,1,5,1,,,3,,,93
CSE 140,Artif Intelligence,Lise Getoor,2019 Fall,2198,N,2,11,25,15,13,13,7,1,,,,,,2,1,,,,1,,,91
CSE 142,Machine Learning,Snigdha Chaturvedi,2019 Fall,2198,N,5,3,8,10,33,11,5,7,1,,,,1,3,1,,,,5,,,93
CSE 143,Natural Lang Process,Dilek Hakkani-Tur,2019 Fall,2198,N,,4,6,5,7,5,,1,1,,,,,2,,,,1,7,,,39
CSE 150,Intro Comp Networks,Chen Qian,2019 Fall,2198,N,4,29,17,18,20,10,8,7,1,,1,,,,1,,,,2,,,118
CSE 150L,Int Comp Net Lab,Chen Qian,2019 Fall,2198,N,4,29,17,18,20,10,8,7,1,,2,,,,,,,,2,,,118
CSE 160,Intro Comp Graphics,Alex Pang,2019 Fall,2198,N,2,9,5,7,4,8,,3,,,2,,1,,2,,,,14,,,57
CSE 160L,Comp Graphics Lab,Alex Pang,2019 Fall,2198,N,11,7,9,4,6,,,1,,,1,,1,,3,1,,,15,,,59
CSE 166A,Game Theory /Apps I,Daniel Friedman; John Musacchio,2019 Fall,2198,Y,,5,4,2,3,2,,1,1,,,,,1,1,,,,,,,20
ECON 166A,Game Theory /Apps I,Daniel Friedman; John Musacchio,2019 Fall,2198,Y,,5,8,,6,6,2,,,,,,2,6,1,,,,1,,,37
CSE 170,Mgmt Of Tech Seminr,Subhas Desa,2019 Fall,2198,N,44,97,3,,,,,,,,,,,2,,,,,3,,,149
CSE 171A,Intro Mgmt of Tech I,Subhas Desa,2019 Fall,2198,Y,25,57,46,30,9,5,6,2,,,,,2,,,,,,2,,,184
CSE 180,Database Systems I,Sheldon Finkelstein,2019 Fall,2198,N,6,15,12,23,16,18,12,6,1,4,3,,2,,,,,,2,,,120
CSE 184,Data & Web Scraping,Suresh Lodha,2019 Fall,2198,N,13,9,8,15,9,6,5,4,,,,,2,,1,,,,3,,,75
CSE 185E,Tech Writ Comp Engs,Gerald Moulds,2019 Fall,2198,N,,55,49,13,13,1,1,2,,,1,,3,,2,,,,5,,,145
CSE 200,Research & Teaching,Katia Obraczka; Suresh Lodha,2019 Fall,2198,N,,,,,,,,,,,,,,1,,108,,,,,,109
CSE 201,Analysis Algorithms,Sheldon Finkelstein,2019 Fall,2198,N,4,8,8,7,4,7,,,,,,,1,,,1,1,,,,,41
CSE 205,Logic In Comp Sci,Phokion Kolaitis,2019 Fall,2198,N,1,4,1,2,3,,,,,,,,,,,2,,1,,,,14
CSE 214,Principles:Data Sys,Faisal Nawab,2019 Fall,2198,N,3,6,5,2,,,,,,,,,,,,1,,,,,,17
CSE 220,Comp Architecture,Scott Beamer,2019 Fall,2198,N,2,7,6,4,3,4,2,,,,,,1,,,6,,,,,,35
CSE 233,Adv Comp Security,Alvaro Cardenas,2019 Fall,2198,N,4,8,,1,1,,,,,,,,,,,2,,,,,,16
CSE 242,Machine Learning,David Helmbold,2019 Fall,2198,N,12,16,4,5,10,4,,6,,,1,,1,1,,13,2,,,,,75
CSE 243,Data Mining,Yi Zhang,2019 Fall,2198,N,2,6,4,4,6,3,,2,,,,,,,,8,2,,,,,37
CSE 250A,Computer Networks,Katia Obraczka,2019 Fall,2198,N,2,2,2,3,2,3,,1,,,,,,,,,3,,,,,18
STAT 266A,Introduction to R,Daniel Spencer,2019 Fall,2198,Y,1,6,,,,,1,,,,,,,,,5,1,,,,,14
CSE 280O,APL Seminar,Lindsey Kuper; Owen Arden,2019 Fall,2198,N,1,,,,,,,,,,,,,7,,7,,,,,,15
CSE 290T,ComputingForSociety,Yang Liu,2019 Fall,2198,N,,21,9,2,,,,,,,,,,,,4,1,,,,,37
EART 1,Oceanography,Gary Griggs,2019 Fall,2198,N,5,18,9,17,37,21,22,23,,,3,,4,33,6,,,,1,,,199
EART 5,California Geology,Elise Knittle,2019 Fall,2198,N,,56,17,4,78,1,,18,1,,3,,4,28,5,,,,3,,,218
EART 5L,Calif Geology Lab,Elise Knittle,2019 Fall,2198,N,1,8,4,,10,2,,,,,,,,,,,,,,,,25
EART 5L,Calif Geology Lab,Elise Knittle,2019 Fall,2198,N,,6,4,,8,1,,2,,,1,,,,,,,,1,,,23
EART 5L,Calif Geology Lab,Elise Knittle,2019 Fall,2198,N,,1,5,,11,,,2,,,2,,,,,,,,2,,,23
EART 8,Planetary Discovery,Xi Zhang,2019 Fall,2198,N,5,7,11,12,12,8,7,2,,,,,,11,4,,,,,,,79
EART 12,Intr Weathr/Climate,Nicole Feldl,2019 Fall,2198,N,3,7,,4,17,1,6,14,5,,5,,2,21,7,,,,2,,,94
EART 101,Invertebrate Paleo,Matthew Clapham,2019 Fall,2198,N,,4,6,1,9,4,2,,,,,,,,,,,,1,,,27
EART 101L,InvertebratePaleoLab,Matthew Clapham,2019 Fall,2198,N,,4,,2,3,3,,,,,,,,,,,,,,,,12
EART 101L,InvertebratePaleoLab,Matthew Clapham,2019 Fall,2198,N,,2,4,1,3,3,1,,,,,,,,,,,,1,,,15
EART 104,Geologic Hazards,Susan Schwartz,2019 Fall,2198,N,1,5,,4,5,3,3,1,1,,,,1,1,1,,,,1,,,27
EART 109,Field Geology,Hilde Schwartz,2019 Fall,2198,N,,1,1,4,3,,3,1,,,,,,,,,,,,,,13
EART 109L,Field Geology Lab,Hilde Schwartz,2019 Fall,2198,N,,3,1,4,4,,1,,,,,,,,,,,,,,,13
EART 110A,Evolution Of Earth,James Zachos; Terrence Blackburn,2019 Fall,2198,N,5,6,11,9,11,5,2,11,,2,2,,4,1,,,,,2,,,71
EART 110L,Evol of Earth Lab,James Zachos; Terrence Blackburn,2019 Fall,2198,N,3,6,4,5,,2,,,,,,,,,,,,,1,,,21
EART 110L,Evol of Earth Lab,James Zachos; Terrence Blackburn,2019 Fall,2198,N,2,9,5,3,1,2,,1,,,,,,,,,,,,,,23
EART 110L,Evol of Earth Lab,James Zachos; Terrence Blackburn,2019 Fall,2198,N,5,1,8,1,,3,,,1,,1,,2,,,,,,,,,22
EART 111,Math in Earth Science,Walter Nimmo,2019 Fall,2198,N,,4,2,,4,,,4,,,,,4,,,,,,2,,,20
EART 116,Hydrology,Margaret Zimmer,2019 Fall,2198,N,,5,,2,4,,4,2,1,1,,,,,,,,,,,,19
EART 119,Intro Prog Geoscience,Mathis Hain,2019 Fall,2198,N,1,4,,3,4,1,1,,,,,,,,1,,,,,,,15
EART 150,Structural Geology,Jeremy Hourigan,2019 Fall,2198,N,1,2,5,5,5,3,3,,,,,,,,,,,,,,,24
EART 150L,Structual Geol Lab,Jeremy Hourigan,2019 Fall,2198,N,,4,1,2,4,,2,,,,,,,,,,,,,,,13
EART 160,Planetary Science,Ian Garrick-Bethell,2019 Fall,2198,N,3,2,3,5,4,3,1,1,,1,,1,,1,,,,,,,,25
EART 191C,Practical Geophysics,Emily Brodsky,2019 Fall,2198,N,,1,5,3,1,1,,,,,,,,1,,,,,,,,12
EART 292,Seminar,James Zachos,2019 Fall,2198,N,,,,,,,,,,,,,,,,36,,,,,,36
EART 292,Seminar,James Zachos,2019 Fall,2198,N,,,,,,,,,,,,,,,,34,,,,,,34
ECE 8,Robot Automation,Mircea Teodorescu,2019 Fall,2198,N,3,4,4,2,7,3,3,,,,,,4,3,,,,,1,,,34
ECE 80S,Sustn Eng/Pract,Dominique De Wit,2019 Fall,2198,N,11,25,25,13,14,4,5,3,2,,,,2,13,1,,,,,,,118
ECE 101,Intro Elec Circuits,Sung Kang,2019 Fall,2198,N,,8,6,8,9,4,14,25,2,,11,,2,1,3,,,,6,,,99
ECE 101L,Intr Elec Circ Lab,Sung Kang,2019 Fall,2198,N,19,19,13,12,14,5,5,1,,,2,,3,1,3,,,,6,,,103
ECE 102,Props Of Materials,Holger Schmidt,2019 Fall,2198,N,2,2,5,2,4,4,2,16,,,1,,6,1,1,,,,1,,,47
ECE 102L,Props Of Matrls Lab,Holger Schmidt,2019 Fall,2198,N,4,7,11,9,3,2,1,5,,,1,,1,1,1,,,,1,,,47
ECE 103,Signals & Systems,Hamid Sadjadpour,2019 Fall,2198,N,,2,3,7,9,20,13,9,,,2,,1,,,,,,1,,,67
ECE 103L,Signals Systems Lab,Hamid Sadjadpour,2019 Fall,2198,N,10,18,8,10,3,3,2,4,,,,,3,,,,,,1,,,62
ECE 118,Intro Mechatronics,Michael Wehner,2019 Fall,2198,Y,4,8,11,10,10,5,4,,,,,,,,,,,,2,,,54
ECE 118L,Intro Mechatr's Lab,Michael Wehner,2019 Fall,2198,Y,4,8,11,10,10,5,4,,,,,,,,,,,,2,,,54
ECE 121,Micro Sys Design,Maxwell Dunne,2019 Fall,2198,N,4,6,1,2,2,2,1,2,,,,,2,,1,,,,1,,,24
ECE 129A,Capstone Project I,Tela Favaloro,2019 Fall,2198,N,,,9,32,37,10,5,2,,,,,,,,,,,7,,,102
ECE 141,Feedback Cntrl Syst,Dejan Milutinovic,2019 Fall,2198,N,3,11,5,5,7,5,8,6,,2,,,,,1,,,,1,,,54
ECE 172,Adv Analog Circuits,Kenneth Pedrotti,2019 Fall,2198,Y,1,2,1,,1,,1,1,,1,,,,2,,,,,2,,,12
ECE 173,Hi-Spd Digtl Design,Stephen Petersen,2019 Fall,2198,N,,5,3,6,8,2,1,,,,,,9,1,2,1,,1,1,,,40
ECE 173L,Hi-Spd Digtl Des Lb,Stephen Petersen,2019 Fall,2198,N,,2,7,5,9,,2,3,,,,,6,2,2,1,,,1,,,40
ECE 175,Energy Gen Control,Leila Parsa,2019 Fall,2198,N,,1,1,1,,2,1,4,,,,,3,1,1,,,,,,,15
ECE 175L,Energy Gen/Ctrl Lab,Leila Parsa,2019 Fall,2198,N,,10,,,,,,,,,2,,1,,1,,,,,,,14
ECE 215,Model Robot Manip,Mircea Teodorescu,2019 Fall,2198,N,9,10,,,,,,,,,,,,,,,,,,,,19
ECE 225,Bandgap Engineering,Michael Oye,2019 Fall,2198,N,1,5,1,1,,,,,,,,,,,,4,,,,,,12
ECE 240,LinearDynamicalSystem,Michael Drew,2019 Fall,2198,N,3,3,4,4,8,,1,,,,3,,2,,,8,1,,,,,37
ECE 280N,Nanophotonics Sem,Ahmet Yanik,2019 Fall,2198,N,6,1,,,,,,,,,,,,,,5,,,,,,12
ECE 290,ECE Graduate Seminar,Michael Wehner,2019 Fall,2198,N,,,,,,,,,,,,,,,,24,,,,,,24
ECON 1,Intro Microeconomic,Julie Gonzalez,2019 Fall,2198,N,1,35,33,35,31,30,58,71,,,10,,15,32,9,,,,11,,,371
ECON 2,Intro Macroeconomic,Ajay Shenoy,2019 Fall,2198,N,22,32,26,12,21,11,15,7,8,4,10,1,15,1,2,,,,5,,,192
ECON 10A,Econ of Accounting,Yu Chen,2019 Fall,2198,N,2,26,16,17,46,13,15,34,4,1,19,,10,8,10,1,,,4,,,226
ECON 100A,Intermed Microecon,Natalia Lazzati,2019 Fall,2198,N,8,18,16,20,26,14,11,7,,,3,,1,,,,,,2,,,126
ECON 100A,Intermed Microecon,Justin Marion,2019 Fall,2198,N,4,25,3,4,34,6,5,19,,,,,4,5,3,,,,3,,,115
ECON 100B,Intermed Macroecon,Michael Hutchison,2019 Fall,2198,N,9,7,7,10,18,11,5,11,,,4,,6,2,3,,,,1,,,94
ECON 100B,Intermed Macroecon,Hikaru Saijo,2019 Fall,2198,N,12,42,29,9,6,1,,,,,,,,,,,,,,,,99
ECON 111A,Intermed Account I,Scott Anderson,2019 Fall,2198,N,4,7,13,1,14,10,9,10,,,4,,1,3,1,,,,2,,,79
ECON 113,Intro Econometrics,George Bulman,2019 Fall,2198,N,4,31,7,15,21,13,3,10,,,5,,3,2,4,,,,,,,118
ECON 113,Intro Econometrics,Laura Giuliano,2019 Fall,2198,N,2,14,9,13,18,14,5,11,,,4,,4,,1,,,,,,,95
ECON 114,Adv Quant Methods,Jessie Li,2019 Fall,2198,N,1,3,2,,,2,,,,,3,,,,2,,,,1,,,14
ECON 114L,AdvQuantMethodLab,Jessie Li,2019 Fall,2198,N,1,3,2,,,2,,,,,4,,,,2,,,,,,,14
ECON 117B,Tax Factors,Thomas Moschetti,2019 Fall,2198,N,1,15,3,10,16,6,13,22,,,1,,,8,3,,,,5,,,103
ECON 120,DevelopmentEconomics,Jonathan Robinson,2019 Fall,2198,N,,6,5,2,4,2,2,1,,,,,3,6,1,,,,2,,,34
ECON 125,Econ History Of US,Aaron Meininger,2019 Fall,2198,N,,10,16,11,10,4,2,7,,,2,,3,3,,,,,3,,,71
ECON 126,Why Succeed/Fail,Robert Baden,2019 Fall,2198,N,9,45,37,22,44,20,3,15,,,2,,5,14,,,,,4,,,220
ECON 130,Money & Banking,Michael Hutchison,2019 Fall,2198,N,4,4,4,3,10,1,1,7,,,1,,,16,4,,,,2,,,57
ECON 133,Security Markets,Kai Pommerenke,2019 Fall,2198,N,9,11,9,10,7,8,1,,1,,1,,,12,,,,,,,,69
ECON 136,Business Strategy,Robert Baden,2019 Fall,2198,N,5,33,24,19,30,7,2,4,,,1,,1,3,,,,,1,,,130
ECON 140,International Trade,Gueyon Kim,2019 Fall,2198,N,4,11,13,10,9,8,2,5,,,3,,1,,,,,,1,,,67
ECON 141,Internatl Finance,Kenneth Kletzer,2019 Fall,2198,N,1,10,3,3,1,3,2,,1,,,,1,7,1,,,,1,,,34
ECON 150,Public Finance,Justin Marion,2019 Fall,2198,N,1,5,1,3,5,3,,4,,,,,3,,,,,,,,,25
ECON 161A,Marketing,Stephen Owen,2019 Fall,2198,N,,13,31,17,21,4,4,3,,,,,,7,,,,,,,,100
ECON 180,Labor Economics,Laura Giuliano,2019 Fall,2198,N,4,6,3,3,2,2,2,,1,,,,,1,,,,,,,,24
ECON 186,Mathematical Mthds,Prateek Arora,2019 Fall,2198,N,2,4,,,,,,,,,,,,,,8,,,,,,14
ECON 197,Economic Rhetoric,Julie Gonzalez,2019 Fall,2198,N,,1,3,8,10,4,3,4,,,,,,5,,,,,,,,38
ECON 197,Economic Rhetoric,Aaron Meininger,2019 Fall,2198,N,,3,5,7,7,4,2,1,,,,,,5,,,,,1,,,35
ECON 197,Economic Rhetoric,Aaron Meininger,2019 Fall,2198,N,1,6,4,3,5,2,6,1,,,,,,5,,,,,,,,33
ECON 200,Microecon Analysis,Subhra Saha,2019 Fall,2198,N,2,4,2,2,3,3,,,,,,,,,,6,,,,,,22
ECON 204A,Adv Microec Theor I,Natalia Lazzati,2019 Fall,2198,N,1,3,5,3,1,1,,,,,,,,,,,,,,,,14
ECON 205A,Adv Macroec Theor I,Kenneth Kletzer,2019 Fall,2198,N,3,4,4,3,,,,,,,,,,,,,,,,,,14
ECON 210B,Math Methods Econ,Brett Williams,2019 Fall,2198,N,,,,,,,,,,,,,,,,14,,,,,,14
ECON 211A,Adv Econometrics I,Jessie Li,2019 Fall,2198,N,,6,3,3,,1,,,,,,,,,,1,,,,,,14
ECON 216,Applied Economet I,George Bulman,2019 Fall,2198,N,2,5,1,2,6,1,,,,,,,,,,4,1,,,,,22
